id,unified_name,preliminary_type,Year,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections ,TCEQ PWS Code,Wholesale System?,Water Use Survey Form Type,PWS System Class,id2023,form2023
186300,City Of Corsicana,water system,2022.0,N," 26,250 "," 567,582,000 "," 7,808 "," 83,925,000 "," 2,035 "," 262,717,300 "," 1,322 "," 196,955,000 ", 18 ," 84,098,000 ", 129 ,,," 1,195,277,300 "," 11,312 "," 1,103,000 ", 20 ,TX1750002,N,Municipal Long,Municipal,186300,Municipal
Woodbine Aquifer,Woodbine Aquifer,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Trinity Basin (Source Unknown),Trinity Basin (Source Unknown),water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
1102158,Gtua,water system,,,,,,,,,,,,,,,,,,,,,,,,,
848000,Texarkana Water Utilities,water system,2022.0,N," 74,002 "," 1,350,697,214 "," 24,998 "," 316,808,878 "," 8,566 "," 439,090,639 "," 2,311 "," 523,822,511 ", 186 ," 410,691,494 ", 947 ," 195,573,999 ", 23 ," 3,236,684,735 "," 37,031 "," 517,442,808 ",,TX0190004,N,Municipal Long,Municipal,848000,Municipal
Hueco-Mesilla Bolson Aquifer,Hueco-Mesilla Bolson Aquifer,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
Trinity-San Jacinto Basin (Source Unknown),Trinity-San Jacinto Basin (Source Unknown),water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
592000,City Of Nacogdoches,water system,2022.0,N," 37,000 "," 463,829,200 "," 8,844 "," 236,459,200 "," 5,436 "," 198,230,900 "," 1,607 "," 724,393,800 ", 59 ," 202,174,100 ", 184 ," 312,501,300 "," 1,654 "," 2,137,588,500 "," 17,784 "," 15,000,000 ", 1 ,TX1740003,N,Municipal Long,Municipal,592000,Municipal
257400,City Of Elgin,water system,2022.0,N," 12,500 "," 243,052,000 "," 4,458 "," 13,510,000 ", 310 ," 59,214,000 ", 268 ,,," 14,837,000 ", 27 ," 30,176,000 ", 63 ," 360,789,000 "," 5,126 "," 3,000,000 ", 494 ,TX0110002,N,Municipal Long,Municipal,257400,Municipal
Aquilla Lake/Reservoir,Aquilla Lake/Reservoir,water source,,,,,,,,,,,,,,,,,,,,,,,,,Water Source
32800,City Of Aransas Pass,water system,2022.0,N," 10,521 "," 186,779,000 "," 4,081 "," 22,600,100 ", 45 ," 121,144,800 ", 515 ," 14,827,600 ", 12 ," 2,602,500 ", 9 ,,," 347,954,000 "," 4,662 "," 151,404,470 ", 75 ,TX2050015,N,Municipal Long,Municipal,32800,Municipal
769305,San Patricio Mwd,water system,2022.0,N, 84 ," 1,132,000 ", 13 ,,," 29,639,000 ", 3 ," 51,630,000 ", 17 ,,," 1,423,000 ", 7 ," 83,824,000 ", 40 ,,,TX2050011,N,Municipal Long,District ,769305,Municipal
944456,City Of Wichita Falls,water system,2022.0,N," 104,553 "," 2,126,681,437 "," 30,956 "," 366,849,868 "," 1,025 "," 896,007,846 "," 2,519 "," 154,594,396 ", 18 ," 281,518,776 ", 843 ,,," 3,829,022,606 "," 35,362 "," 30,746,271 ",,TX2430001,N,Municipal Long,Municipal,944456,Municipal
295231,Fort Bend County Fwsd 1,water system,2022.0,N," 5,176 "," 102,371,000 "," 1,651 "," 703,000 ", 12 ," 3,040,000 ", 72 ,,," 248,000 ", 2 ,,," 106,362,000 "," 1,737 "," 14,639,000 ",,TX0790474,N,Municipal Long,District ,295231,Municipal
1101799,Utrwd Regional Water Treatment Plant,water system,,,,,,,,,,,,,,,,,,,,TX0610213,Y,Municipal Short,District ,1101799,Municipal
581900,Mt Enterprise Wsc,water system,2022.0,N," 2,100 "," 46,213,400 ", 708 ,,," 2,660,300 ", 20 ," 376,300 ", 2 ," 993,400 ", 27 ,,," 50,243,400 ", 757 ,,,TX2010023,N,Municipal Long,Water Supply Corporation,581900,Municipal
