id,unified_name,preliminary_type,Year,TWDB Estimated?, Population Served , Single Family Volumes , Single Family Connections , Multi-Family Volumes , Multi-Family Connections , Commercial Volume , Commercial Connections , Industrial Volumes , Industrial Connections , Institutional Volume , Institutional Connections , Agricultural Volumes , Agricultural Connections , Total Metered Volume , Total Metered Connections , Total Un-metered Volume , Total Un-metered Connections ,TCEQ PWS Code,Wholesale System?,Water Use Survey Form Type,PWS System Class,id2023,form2023
72170,Beulah Wsc,water system,2022.0,N, 567 ," 12,170,498 ", 224 ,,,,,,,,,,," 12,170,498 ", 224 ," 134,990 ", 20 ,TX0030017,N,Municipal Long,Water Supply Corporation,72170,Municipal
72180,City Of Bevil Oaks,water system,2022.0,N," 1,165 "," 20,425,464 ", 463 ,,," 319,446 ", 3 ,,,,,,," 20,744,910 ", 466 ," 1,065,000 ", 21 ,TX1230049,N,Municipal Long,Municipal,72180,Municipal
72200,Bexar County Wcid 10 Windcrest,water system,2022.0,N," 5,120 "," 214,090,000 "," 2,300 "," 11,250,000 ", 6 ," 70,400,000 ", 170 ,,," 9,000,000 ", 6 ,,," 304,740,000 "," 2,482 ",,,TX0150106,N,Municipal Long,District ,72200,Municipal
72500,Saws Castle Hills,water system,2022.0,N," 8,117 "," 283,736,172 "," 2,529 "," 25,654,591 ", 506 ," 84,205,258 ", 252 ,,,,,,," 393,596,021 "," 3,287 ",,,TX0150045,N,Municipal Long,Municipal,72500,Municipal
72800,City Of Big Lake,water system,2022.0,N," 3,000 "," 97,057,319 "," 1,080 "," 1,895,919 ", 3 ," 52,223,356 ", 200 ,,," 18,539,652 ", 88 ,,," 169,716,246 "," 1,371 ",,,TX1920001,N,Municipal Long,Municipal,72800,Municipal
72855,Big Oak Mhp,water system,,,,,,,,,,,,,,,,,,,,TX1020061,N,Municipal Short,Mobile Home Park,72855,Municipal
73600,City Of Big Sandy,water system,2022.0,N," 1,401 "," 32,196,990 ", 467 ," 2,862,010 ", 60 ," 6,865,000 ", 85 ,,," 8,832,000 ", 45 ,,," 50,756,000 ", 657 ," 52,400 ", 3 ,TX2300001,N,Municipal Long,Municipal,73600,Municipal
74780,Country View Estates,water system,2022.0,Y, 300 ,,,,,,,,,,,,,,,,,TX1630026,N,Municipal Long,Private/IOU,74780,Municipal
75200,City Of Big Wells,water system,2022.0,N, 876 ,,,,,,,,,,,,,,,,,TX0640012,N,Municipal Long,Municipal,75200,Municipal
75300,Big Wood Springs Water System,water system,2022.0,N, 225 ," 2,446,469 ", 84 ,,,,,,,,,,," 2,446,469 ", 84 ,,,TX2500019,N,Municipal Long,Private/IOU,75300,Municipal
75655,Bilma Pud,water system,2022.0,N," 5,463 "," 240,419,000 "," 1,762 ",,," 9,456,000 ", 34 ,,," 12,157,000 ", 25 ,,," 262,032,000 "," 1,821 ",,,TX1011872,N,Municipal Long,District ,75655,Municipal
75658,Binford Place Subdivision,water system,2022.0,Y, 126 ," 3,210,000 ", 42 ,,,,,,,,,,," 3,210,000 ", 42 ,,,TX1011551,N,Municipal Long,Private/IOU,75658,Municipal
75900,Birome Wsc,water system,2022.0,Y," 1,506 "," 29,267,493 ", 502 ,,,,,,,,,,," 29,267,493 ", 502 ," 6,958,860 ", 1 ,TX1090017,N,Municipal Long,Water Supply Corporation,75900,Municipal
76000,City Of Bishop,water system,2022.0,N," 3,186 "," 61,741,200 "," 1,228 "," 28,574,200 ", 16 ," 34,076,600 ", 57 ,,,,,,," 124,392,000 "," 1,301 ",,,TX1780002,N,Municipal Long,Municipal,76000,Municipal
77000,Blackjack Wsc,water system,2022.0,N, 990 ," 25,281,300 ", 324 ,,,,," 8,156,200 ", 9 ," 11,000 ", 3 ,,," 33,448,500 ", 336 ," 2,640,600 ", 18 ,TX0370029,N,Municipal Long,Water Supply Corporation,77000,Municipal
77100,Blackland Wsc,water system,2022.0,N," 5,226 "," 177,479,000 "," 1,599 "," 5,197,500 ", 4 ," 30,300,500 ", 140 ,,,,,,," 212,977,000 "," 1,743 "," 13,897,870 ", 68 ,TX1990004,N,Municipal Long,Water Supply Corporation,77100,Municipal
77200,Black Rock Wsc,water system,2022.0,N," 1,450 "," 70,325,112 ", 558 ,,,, 6 ,,,,,,," 70,325,112 ", 564 ," 65,000 ", 1 ,TX0610040,N,Municipal Long,Water Supply Corporation,77200,Municipal
77300,Blair Wsc,water system,2022.0,N, 950 ," 1,877,100 ", 287 ,,,,,,,,," 10,000 ", 117 ," 1,887,100 ", 404 ," 594,000 ", 38 ,TX2210024,N,Municipal Long,Water Supply Corporation,77300,Municipal
77600,City Of Blanco,water system,2022.0,N," 3,192 "," 29,963,000 ", 856 ," 10,194,300 ", 54 ," 25,501,900 ", 176 ," 3,185,800 ", 4 ,,,,," 68,845,000 "," 1,090 "," 5,000,000 ",,TX0160002,N,Municipal Long,Municipal,77600,Municipal
77605,Granite Creek Wsc,water system,2022.0,Y, 178 ," 4,640,000 ", 71 ,,,,,,,,,,," 4,640,000 ", 71 ,,,TX1050080,N,Municipal Long,Private/IOU,77605,Municipal
78400,City Of Blanket,water system,2022.0,N, 368 ," 8,293,549 ", 183 ," 141,690 ", 1 ," 218,670 ", 5 ,,," 745,110 ", 13 ,,," 9,399,019 ", 202 ," 370,210 ", 10 ,TX0250013,N,Municipal Long,Municipal,78400,Municipal
78900,Bledsoe Wsc,water system,2022.0,N, 60 ," 3,087,398 ", 48 ,,," 20,000 ", 4 ,,,,,,," 3,107,398 ", 52 ,,,TX0400012,N,Municipal Long,Water Supply Corporation,78900,Municipal
79210,Blessing Mobile Home Park,water system,,,,,,,,,,,,,,,,,,,,TX2460031,N,Municipal Short,Mobile Home Park,79210,Municipal
79215,Blocker Crossroads Wsc,water system,2022.0,N," 1,545 "," 33,591,400 ", 510 ,,," 28,200 ", 1 ," 895,300 ", 2 ,,,,," 34,514,900 ", 513 ," 346,800 ", 55 ,TX1020077,N,Municipal Long,Water Supply Corporation,79215,Municipal
79225,Block House Mud,water system,2022.0,N," 7,679 "," 187,641,000 "," 2,168 ",,," 69,000 ", 1 ,,," 673,000 ", 2 ," 13,641,000 ", 26 ," 202,024,000 "," 2,197 ",,,TX2460110,N,Municipal Long,District ,79225,Municipal
80400,Bloomburg Wsc,water system,2022.0,N, 711 ," 8,799,200 ", 235 ,, 4 ,,,,,,,,," 8,799,200 ", 239 ,,,TX0340014,N,Municipal Long,Water Supply Corporation,80400,Municipal
80800,City Of Blooming Grove,water system,2022.0,Y," 1,000 "," 23,147,600 ", 430 ," 240,000 ", 4 ," 192,000 ", 5 ," 15,000 ", 1 ," 5,268,000 ", 14 ,,," 28,862,600 ", 454 ,,,TX1750001,N,Municipal Long,Municipal,80800,Municipal
81650,City Of Blossom,water system,2022.0,N," 2,007 "," 38,190,360 ", 669 ," 1,595,800 ", 5 ," 1,085,340 ", 22 ,,,,,,," 40,871,500 ", 696 ," 100,000 ", 12 ,TX1390004,N,Municipal Long,Municipal,81650,Municipal
82000,Blue Bell Manor Subdivision,water system,2022.0,N," 2,500 "," 149,585,000 ", 780 ,,,, 15 ,,,,,,," 149,585,000 ", 795 ,,,TX1010647,N,Municipal Long,Private/IOU,82000,Municipal
82004,Dogwood Tree Water System,water system,2022.0,N, 50 ," 1,076,000 ", 14 ,,,,,,,,,,," 1,076,000 ", 14 ,,,TX1010927,N,Municipal Long,Private/IOU,82004,Municipal
82005,Dogwood Hills,water system,2022.0,Y," 1,011 ",, 337 ,,,, 3 ,,,,,,,, 340 ," 4,000 ",,TX1700129,N,Municipal Long,Private/IOU,82005,Municipal
82007,Turtle Creek,water system,2022.0,Y, 540 ," 14,717,000 ", 180 ,,,,,,,,,,," 14,717,000 ", 180 ," 1,000 ",,TX1700287,N,Municipal Long,Private/IOU,82007,Municipal
82010,Quailwood Water System,water system,2022.0,N, 45 ," 1,635,000 ", 16 ,,,,,,,,,,," 1,635,000 ", 16 ,,,TX1011475,N,Municipal Long,Private/IOU,82010,Municipal
82018,Oakwood Acres,water system,2022.0,Y, 243 ," 7,409,000 ", 80 ,,,, 1 ,,,,,,," 7,409,000 ", 81 ,,,TX1700216,N,Municipal Long,Private/IOU,82018,Municipal
82068,Bluebonnet Hills Wsc,water system,2022.0,N, 603 ," 12,088,073 ", 201 ,,,,,,,,,,," 12,088,073 ", 201 ," 56,600 ", 13 ,TX1840086,N,Municipal Long,Water Supply Corporation,82068,Municipal
82125,Cape Tranquility System,water system,2022.0,Y, 175 ," 4,227,400 ", 70 ,,,,,,,,,,," 4,227,400 ", 70 ," 254,350 ",,TX1070176,N,Municipal Long,Private/IOU,82125,Municipal
82400,City Of Blue Ridge,water system,2022.0,N," 1,000 "," 43,200,562 ", 452 ,,," 2,276,132 ", 44 ,,,,,,," 45,476,694 ", 496 ,,,TX0430002,N,Municipal Long,Municipal,82400,Municipal
82490,Blue Ridge Mobile Home Park,water system,,,,,,,,,,,,,,,,,,,,TX1330133,N,Municipal Short,Mobile Home Park,82490,Municipal
82500,Blue Ridge West Mud,water system,2022.0,N," 7,428 "," 172,111,000 "," 2,427 ",,," 16,262,000 ", 30 ,,," 4,913,000 ", 19 ," 13,340,000 ", 28 ," 206,626,000 "," 2,504 "," 14,359,000 ",,TX0790051,N,Municipal Long,District ,82500,Municipal
82900,Blue Water Shores,water system,2022.0,Y," 1,800 "," 38,892,000 ", 600 ,,,,,,,,,,," 38,892,000 ", 600 ,,,TX1110079,N,Municipal Long,Private/IOU,82900,Municipal
83200,City Of Blum,water system,2022.0,Y, 496 ," 18,912,800 ", 247 ,,,, 1 ,,,,,,," 18,912,800 ", 248 ,,,TX1090007,N,Municipal Long,Municipal,83200,Municipal
83350,Tri County Point Water System 2,water system,2022.0,N, 92 ," 272,886 ", 25 ,,,,,,,,,,," 272,886 ", 25 ,,,TX1200027,N,Municipal Long,Private/IOU,83350,Municipal
84008,Country Springs Water,water system,2022.0,N, 768 ," 23,221,000 ", 256 ,,,,,,,,,,," 23,221,000 ", 256 ," 19,907,000 ",,TX0150421,N,Municipal Long,Private/IOU,84008,Municipal
85000,Bold Springs Wsc,water system,2022.0,N," 2,376 "," 68,861,149 ", 776 ,,," 1,920,000 ", 16 ,,,,,,," 70,781,149 ", 792 ," 30,000 ", 36 ,TX1550017,N,Municipal Long,Water Supply Corporation,85000,Municipal
85600,Boling Mwd,water system,2022.0,Y, 990 ,, 350 ,,,,,,,,,,,, 350 ,,,TX2410006,N,Municipal Long,District ,85600,Municipal
86650,Bon Wier Wsc,water system,2022.0,Y, 600 ," 13,262,000 ", 200 ,,," 258,000 ", 3 ,,,,,,," 13,520,000 ", 203 ,,,TX1760008,N,Municipal Long,Water Supply Corporation,86650,Municipal
90400,Bovina Municipal Water System,water system,2022.0,N," 1,886 "," 70,855,000 ", 633 ,,," 2,025,000 ", 28 ," 772,000 ", 1 ," 2,521,000 ", 26 ," 796,000 ", 9 ," 76,969,000 ", 697 ," 1,738,000 ", 7 ,TX1850001,N,Municipal Long,Municipal,90400,Municipal
92000,City Of Boyd,water system,2022.0,Y," 1,680 "," 32,643,065 ", 549 ," 947,536 ", 4 ," 15,354,429 ", 110 ,,," 4,859,774 ", 10 ," 216,000 ", 2 ," 54,020,804 ", 675 ,,,TX2490002,N,Municipal Long,Municipal,92000,Municipal
92100,Boyd Acres Water System,water system,2022.0,N, 81 ," 1,100,710 ", 30 ,,,,,,,,,,," 1,100,710 ", 30 ,,,TX0610051,N,Municipal Long,Private/IOU,92100,Municipal
92350,Boynton Water,water system,2022.0,Y, 158 ," 3,277,100 ", 63 ,,,,,,,,,,," 3,277,100 ", 63 ," 21,000 ",,TX1110042,N,Municipal Long,Water Supply Corporation,92350,Municipal
92550,Boys & Girls Country,water system,,,,,,,,,,,,,,,,,,,,TX1011120,N,Municipal Short,Institutions/Facilities,92550,Municipal
92800,Cal Farleys Boys Ranch,water system,,,,,,,,,,,,,,,,,,,,TX1800002,N,Municipal Short,Institutions/Facilities,92800,Municipal
94920,Brashear Wsc,water system,2022.0,N, 765 ," 27,869,200 ", 422 ,,," 1,500,000 ", 13 ,,,,," 20,000,000 ", 17 ," 49,369,200 ", 452 ," 7,611,700 ", 18 ,TX1120010,N,Municipal Long,Water Supply Corporation,94920,Municipal
95200,City Of Brazoria,water system,2022.0,N," 3,000 "," 49,738,845 "," 1,197 ",,," 20,566,319 ", 175 ,,," 3,156,700 ", 14 ," 1,545,902 ", 8 ," 75,007,766 "," 1,394 "," 5,000,000 ", 84 ,TX0200003,N,Municipal Long,Municipal,95200,Municipal
95220,Brazoria County Sheriffs Office Detentio,water system,,,,,,,,,,,,,,,,,,,,TX0200412,N,Municipal Short,Institutions/Facilities,95220,Municipal
95253,Brazoria County Mud 3,water system,2022.0,N," 4,215 "," 129,807,000 "," 1,405 ",,,,,,,,," 32,428,000 ", 81 ," 162,235,000 "," 1,486 ",,,TX0200560,N,Municipal Long,District ,95253,Municipal
95256,Brazoria County Mud 6,water system,2022.0,N," 7,635 "," 183,763,000 "," 1,303 "," 49,105,000 "," 1,173 "," 42,542,000 ", 65 ,,," 530,000 ", 4 ," 65,905,000 ", 112 ," 341,845,000 "," 2,657 ",,,TX0200578,N,Municipal Long,District ,95256,Municipal
95774,Brazos River Acres,water system,2022.0,Y, 342 ,,,,,,,,,,,,,,,,,TX1110028,N,Municipal Long,Private/IOU,95774,Municipal
95776,Brazos River Club,water system,,,,,,,,,,,,,,,,,,,,TX0200278,N,Municipal Short,Institutions/Facilities,95776,Municipal
96800,City Of Bremond,water system,2022.0,N, 858 ," 23,795,000 ", 437 ," 3,126,000 ", 60 ," 2,265,000 ", 45 ,,," 4,081,000 ", 128 ,,," 33,267,000 ", 670 ," 2,468,000 ", 5 ,TX1980001,N,Municipal Long,Municipal,96800,Municipal
97750,Brentwood Subdivision,water system,2022.0,Y, 378 ," 12,588,000 ", 151 ,,,,,,,,,,," 12,588,000 ", 151 ,,,TX2350005,N,Municipal Long,Private/IOU,97750,Municipal
97760,Village Of Briarcliff,water system,2022.0,N," 1,850 "," 92,931,222 ", 937 ," 1,270,340 ", 60 ," 1,102,151 ", 8 ,,,,,,," 95,303,713 "," 1,005 "," 25,000 ", 2 ,TX2270007,N,Municipal Long,Municipal,97760,Municipal
97908,Briarwood Harbor,water system,2022.0,N, 102 ," 2,015,000 ", 34 ,,,,,,,,,,," 2,015,000 ", 34 ," 1,586,000 ",,TX1070220,N,Municipal Long,Private/IOU,97908,Municipal
97950,Brice Lesley Wsc,water system,2022.0,N, 100 ," 5,326,470 ", 64 ,,,,,,,,," 7,307,937 ", 59 ," 12,634,407 ", 123 ,,,TX0960013,N,Municipal Long,Water Supply Corporation,97950,Municipal
98000,City Of Bridge City,water system,2022.0,N," 9,546 "," 303,591,000 "," 3,906 "," 10,044,000 ", 71 ," 46,674,000 ", 299 ," 8,491,000 ", 16 ,,,,," 368,800,000 "," 4,292 "," 6,571,000 ", 158 ,TX1810001,N,Municipal Long,Municipal,98000,Municipal
98075,Bridlewood Estates Water System,water system,2022.0,N," 1,266 "," 80,679,000 ", 422 ,,,,,,,,,,," 80,679,000 ", 422 ,,,TX0790350,N,Municipal Long,Private/IOU,98075,Municipal
98146,Fort Elliott Cisd Briscoe,water system,,,,,,,,,,,,,,,,,,,,TX2420006,N,Municipal Short,Institutions/Facilities,98146,Municipal
98150,Brinker Wsc,water system,2022.0,N," 3,143 "," 89,125,900 ", 983 ,,," 1,864,300 ", 23 ,,," 402,500 ", 10 ," 5,768,000 ", 21 ," 97,160,700 "," 1,037 "," 366,150 ",,TX1120011,N,Municipal Long,Water Supply Corporation,98150,Municipal
98225,Brittany Hill Water Association,water system,2022.0,N, 185 ," 3,233,000 ", 63 ,,,,,,,,,,," 3,233,000 ", 63 ,,,TX0610181,N,Municipal Long,Private/IOU,98225,Municipal
98250,City Of Broaddus,water system,2022.0,N, 240 ," 4,418,155 ", 142 ,, 7 ," 759,697 ", 27 ,,," 1,003,110 ", 12 ,,," 6,180,962 ", 188 ," 9,871,890 ", 19 ,TX2030003,N,Municipal Long,Municipal,98250,Municipal
98350,Brookeland Fwsd,water system,2022.0,Y," 1,527 "," 21,761,910 ", 509 ,,," 4,478,530 ", 24 ,,,,,,," 26,240,440 ", 533 ,,,TX2020004,N,Municipal Long,District ,98350,Municipal
98398,Brookshires Camp Joy Water System,water system,2022.0,Y, 318 ," 5,012,000 ", 106 ,,,,,,,,,,," 5,012,000 ", 106 ," 2,158,900 ",,TX2300015,N,Municipal Long,Private/IOU,98398,Municipal
99155,City Of Browndell,water system,2022.0,N, 306 ," 6,982,505 ", 102 ,,," 787,600 ", 3 ,,,,,,," 7,770,105 ", 105 ," 65,000 ", 2 ,TX1210048,N,Municipal Long,Municipal,99155,Municipal
101620,Brundage Water System,water system,2022.0,N, 60 ," 6,433,390 ", 30 ,,,,,,,,,,," 6,433,390 ", 30 ,,,TX0640028,N,Municipal Long,Private/IOU,101620,Municipal
101950,Brushy Creek Wsc,water system,2022.0,N," 4,724 "," 98,167,800 "," 1,596 ",,," 230,000 ", 1 ,,,,,,," 98,397,800 "," 1,597 "," 21,377,800 ", 135 ,TX0010036,N,Municipal Long,Water Supply Corporation,101950,Municipal
101960,Brushy Creek Utility,water system,2022.0,Y, 381 ," 15,096,000 ", 127 ,,,,,,,,,,," 15,096,000 ", 127 ,,,TX1700601,N,Municipal Long,Private/IOU,101960,Municipal
104300,Buchanan Lake Village,water system,2022.0,Y, 681 ," 11,488,650 ", 229 ,,,,,,,,,,," 11,488,650 ", 229 ,,,TX1500003,N,Municipal Long,Private/IOU,104300,Municipal
104600,City Of Buckholts,water system,2022.0,Administratively Incomplete, 515 ,,,,,,,,,,,,,,,,,TX1660007,N,Municipal Long,Municipal,104600,Municipal
106050,Buena Vista Ws Burnet,water system,2022.0,N, 381 ," 5,627,200 ", 127 ,,,,,,,,,,," 5,627,200 ", 127 ,,,TX0270008,N,Municipal Long,Private/IOU,106050,Municipal
106410,City Of Buffalo Gap,water system,2022.0,N, 588 ," 32,098,400 ", 545 ,,," 996,390 ", 18 ,,," 665,310 ", 23 ,,," 33,760,100 ", 586 ,,,TX2210003,N,Municipal Long,Municipal,106410,Municipal
106450,Buffalo Hills Water System,water system,2022.0,Y, 420 ," 12,038,200 ", 168 ,,,,,,,,,,," 12,038,200 ", 168 ,,,TX0700070,N,Municipal Long,Private/IOU,106450,Municipal
106900,City Of Bullard,water system,2022.0,N," 4,263 ",," 1,711 ",, 3 ,, 90 ,, 1 ,, 49 ,,,," 1,854 "," 747,000 ", 30 ,TX2120006,N,Municipal Long,Municipal,106900,Municipal
106930,Bullocks Mobile Home Park,water system,,,,,,,,,,,,,,,,,,,,TX1000067,N,Municipal Short,Mobile Home Park,106930,Municipal
107200,Jasper County Wcid 1,water system,2022.0,N," 3,450 "," 54,853,700 ", 866 ,, 60 ,, 10 ,,,,,,," 54,853,700 ", 936 ,,,TX1210003,N,Municipal Long,District ,107200,Municipal
108000,City Of Bunker Hill Village,water system,2022.0,N," 3,879 "," 343,619,000 "," 1,414 ",,,,,,," 13,878,000 ", 18 ,,," 357,497,000 "," 1,432 "," 7,250,000 ", 2 ,TX1010106,N,Municipal Long,Municipal,108000,Municipal
109800,Burkeville Wsc,water system,2022.0,N, 864 ," 10,252,857 ", 254 ," 201,080 ", 2 ," 1,221,840 ", 7 ,,," 1,963,290 ", 21 ," 189,140 ", 4 ," 13,828,207 ", 288 ," 158,000 ", 2 ,TX1760003,N,Municipal Long,Water Supply Corporation,109800,Municipal
109925,Burns Redbank Wsc,water system,2022.0,N," 2,241 "," 42,240,700 ", 739 ,,,,," 1,265,700 ", 1 ," 613,700 ", 8 ,,," 44,120,100 ", 748 ," 320,500 ", 42 ,TX0190015,N,Municipal Long,Water Supply Corporation,109925,Municipal
113625,Austin Aqua System,water system,2022.0,Y, 201 ," 5,173,240 ", 63 ,,," 597,620 ", 4 ,,,,,,," 5,770,860 ", 67 ," 50,000 ", 3 ,TX0270042,N,Municipal Long,Private/IOU,113625,Municipal
115100,City Of Burton,water system,2022.0,N, 281 ," 10,176,970 ", 191 ," 21,520 ", 1 ," 951,830 ", 23 ,,," 1,119,400 ", 11 ," 35,600 ", 2 ," 12,305,320 ", 228 ," 180,000 ", 25 ,TX2390002,N,Municipal Long,Municipal,115100,Municipal
115300,Bushland Wsc,water system,2022.0,N, 200 ," 7,033,540 ", 73 ,,," 2,914,160 ", 9 ,,," 500,320 ", 4 ," 225,390 ", 1 ," 10,673,410 ", 87 ,, 14 ,TX1880002,N,Municipal Long,Water Supply Corporation,115300,Municipal
115350,Butler Wsc,water system,2022.0,N," 2,258 "," 35,248,300 ", 645 ,,,,,,,,,,," 35,248,300 ", 645 ," 2,348,800 ", 46 ,TX0810013,N,Municipal Long,Water Supply Corporation,115350,Municipal
116000,City Of Bynum Blackland System,water system,2022.0,N, 199 ," 4,934,700 ", 89 ," 126,500 ", 3 ," 103,500 ", 4 ,,," 722,500 ", 4 ," 20,800 ", 2 ," 5,908,000 ", 102 ," 60,000 ", 5 ,TX1090048,N,Municipal Long,Municipal,116000,Municipal
127051,Red Creek Mud,water system,2022.0,Y, 990 ," 15,670,800 ", 329 ,,," 3,000 ", 1 ,,,,,,," 15,673,800 ", 330 ," 250,000 ", 1 ,TX2260101,N,Municipal Long,District ,127051,Municipal
127131,Canyon Ridge Springs,water system,2022.0,Y, 99 ," 2,470,000 ", 33 ,,,,,,,,,,," 2,470,000 ", 33 ," 377,000 ",,TX2270342,N,Municipal Long,Private/IOU,127131,Municipal
127420,Caddo Lake Wsc,water system,2022.0,N," 1,228 "," 17,008,280 ", 408 ,,,,,,,,,,," 17,008,280 ", 408 ," 3,619,920 ", 13 ,TX1020019,N,Municipal Long,Water Supply Corporation,127420,Municipal
127500,City Of Caddo Mills,water system,2022.0,N," 4,681 "," 81,098,300 "," 1,625 ",,,,,,,,,,," 81,098,300 "," 1,625 "," 12,015,707 ", 14 ,TX1160001,N,Municipal Long,Municipal,127500,Municipal
127570,Caddo Village,water system,2022.0,N," 1,428 "," 32,635,000 ", 476 ,,,,,,,,,,," 32,635,000 ", 476 ,,,TX1700473,N,Municipal Long,Private/IOU,127570,Municipal
127575,Cade Lakes Wsc,water system,2022.0,N, 573 ," 10,283,180 ", 191 ,,,,,,,,,,," 10,283,180 ", 191 ," 12,208,444 ", 1 ,TX0260007,N,Municipal Long,Water Supply Corporation,127575,Municipal
127600,Cadillac Water,water system,2022.0,N, 124 ," 20,236,200 ", 62 ,,,,,,,,,,," 20,236,200 ", 62 ,,,TX0150247,N,Municipal Long,Water Supply Corporation,127600,Municipal
127675,Cahill Country Water System,water system,2022.0,Y, 75 ," 3,596,200 ", 30 ,,,,,,,,,,," 3,596,200 ", 30 ,,,TX1260073,N,Municipal Long,Private/IOU,127675,Municipal
128200,City Of Caldwell,water system,2022.0,N," 3,995 "," 130,292,000 "," 1,649 "," 12,811,000 ", 51 ," 60,375,000 ", 382 ," 13,136,594 ", 21 ,,,,," 216,614,594 "," 2,103 "," 700,000 ", 520 ,TX0260001,N,Municipal Long,Municipal,128200,Municipal
128260,Gbra Calhoun County Rural Water System,water system,2022.0,N," 4,746 "," 55,500,000 "," 1,342 "," 4,000,000 ", 121 ," 11,050,000 ", 54 ," 250,000 ", 2 ," 2,000,000 ", 12 ," 2,500,000 ", 3 ," 75,300,000 "," 1,534 "," 1,000,000 ", 39 ,TX0290007,N,Municipal Long,District ,128260,Municipal
129000,Seven Oaks Water Supply,water system,2022.0,N, 205 ," 3,965,400 ", 60 ,,,,,,,,,,," 3,965,400 ", 60 ,,,TX2470016,N,Municipal Long,Private/IOU,129000,Municipal
129450,Mcmullen County Wcid 2,water system,2022.0,N, 300 ," 3,521,872 ", 83 ,,," 579,540 ", 19 ,,,,,,," 4,101,412 ", 102 ," 979,424 ", 12 ,TX1560001,N,Municipal Long,District ,129450,Municipal
129600,City Of Callisburg,water system,2022.0,N," 1,500 "," 47,943,440 ", 743 ,,,,,,,,,,," 47,943,440 ", 743 ," 1,285,900 ",,TX0490013,N,Municipal Long,Municipal,129600,Municipal
129800,City Of Calvert,water system,2022.0,N," 1,247 "," 30,693,628 ", 473 ," 547,400 ", 3 ," 3,374,352 ", 52 ,,," 650,600 ", 11 ," 98,620 ", 3 ," 35,364,600 ", 542 ,,,TX1980002,N,Municipal Long,Municipal,129800,Municipal
130745,Camilla Coves,water system,2022.0,N, 180 ," 10,384,400 ", 93 ,,,,,,,,,,," 10,384,400 ", 93 ," 158,000 ",,TX2040040,N,Municipal Long,Private/IOU,130745,Municipal
130750,Camilla Wsc,water system,2022.0,N, 843 ," 20,692,530 ", 281 ,,,,,,,,,,," 20,692,530 ", 281 ," 380,000 ", 30 ,TX2040002,N,Municipal Long,Water Supply Corporation,130750,Municipal
130900,Campbell Wsc,water system,2022.0,N," 1,830 "," 24,266,030 ", 580 ," 140,980 ", 4 ," 548,980 ", 8 ,,," 4,058,680 ", 18 ,,," 29,014,670 ", 610 ," 5,862,130 ", 29 ,TX1160017,N,Municipal Long,Water Supply Corporation,130900,Municipal
132200,Canadian Municipal Water System,water system,2022.0,N," 2,649 "," 87,819,000 ", 968 ," 241,000 ", 3 ," 28,946,000 ", 233 ,,," 34,883,000 ", 93 ,,," 151,889,000 "," 1,297 "," 9,347,000 ", 12 ,TX1060001,N,Municipal Long,Municipal,132200,Municipal
132230,Candelaria Wsc,water system,2022.0,N, 146 ," 1,478,900 ", 46 ,,,,,,,,,,," 1,478,900 ", 46 ," 21,000 ", 3 ,TX1890011,N,Municipal Long,Water Supply Corporation,132230,Municipal
132275,Candlelight Hills Subdivision,water system,2022.0,Y," 2,256 "," 96,404,000 ", 752 ,,,,,,,,,,," 96,404,000 ", 752 ," 12,000 ",,TX1010532,N,Municipal Long,Municipal,132275,Municipal
132600,City Of Canton,water system,2022.0,N," 3,580 "," 92,528,710 "," 1,733 "," 18,725,612 ", 43 ," 94,457,519 ", 549 ,,,,,,," 205,711,841 "," 2,325 ",,,TX2340001,N,Municipal Long,Municipal,132600,Municipal
133000,Canyon Municipal Water System,water system,2022.0,N," 15,295 "," 544,761,000 "," 4,926 "," 43,242,000 ", 110 ," 110,187,000 ", 430 ,,," 161,207,000 ", 70 ,,," 859,397,000 "," 5,536 ",,,TX1910001,N,Municipal Long,Municipal,133000,Municipal
133090,Canyon Springs Water,water system,2022.0,Y," 1,048 "," 21,612,000 ", 413 ,,," 889,000 ", 3 ,,,,,,," 22,501,000 ", 416 ,,,TX0460022,N,Municipal Long,Private/IOU,133090,Municipal
133095,Canyon Dam Mobile Home Park,water system,,,,,,,,,,,,,,,,,,,,TX0680051,N,Municipal Short,Mobile Home Park,133095,Municipal
133098,Canyon Creek Addition,water system,2022.0,Y, 728 ,, 305 ,,,,,,,,,,,, 305 ,,,TX1110070,N,Municipal Long,Private/IOU,133098,Municipal
133122,Rocky Creek Estates,water system,2022.0,N, 138 ," 6,170,000 ", 46 ,,,,,,,,,,," 6,170,000 ", 46 ,,,TX1013393,N,Municipal Long,Water Supply Corporation,133122,Municipal
133133,Canyon Park Wsc,water system,2022.0,N," 1,200 "," 16,153,600 ", 397 ,,,,,,,,,,," 16,153,600 ", 397 ," 224,000 ", 14 ,TX1870034,N,Municipal Long,Water Supply Corporation,133133,Municipal
133135,Amberwood Water System,water system,2022.0,Y, 405 ," 10,788,155 ", 159 ,,," 403,590 ", 1 ,,,,,,," 11,191,745 ", 160 ," 7,996,255 ", 1 ,TX1910026,N,Municipal Long,Private/IOU,133135,Municipal
133330,Cape Royale Utility District,water system,2022.0,N," 2,230 "," 46,896,600 ", 745 ," 128,600 ", 5 ," 965,600 ", 16 ,,,,,,," 47,990,800 ", 766 ," 8,299,400 ", 9 ,TX2040005,N,Municipal Long,District ,133330,Municipal
